gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1571173605	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/6766173	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	44.233493	-73.841991	27332.0						2017-06-14T13:16Z	14	6	2017	2490800	2490800	HUMAN_OBSERVATION	iNaturalist	Observations	6766173			CC_BY_NC_4_0	Bill Keim	Bill Keim			2017-07-05T10:48Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1571061804	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/3660433	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	44.32725	-71.231197	27332.0						2016-07-06T02:00Z	6	7	2016	2490800	2490800	HUMAN_OBSERVATION	iNaturalist	Observations	3660433			CC_BY_NC_4_0	Tim Guida	Tim Guida			2017-07-05T10:34Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1436717865	8138eb72-f762-11e1-a439-00145eb45e9a	urn:catalog:RBINS:ave:630584	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	US		e88c96a3-5884-4e51-a580-e417ca4c9eed	41.27621	-72.86843							1900-05-16T01:00Z	16	5	1900	2490800	2490800	PRESERVED_SPECIMEN	RBINS	ave	43810		Chicago Field Museum of Natural History	CC_BY_NC_4_0	Royal belgian Institute of natural Sciences				2017-02-28T04:09Z		IDENTIFIED_DATE_UNLIKELY
1436717802	8138eb72-f762-11e1-a439-00145eb45e9a	urn:catalog:RBINS:ave:630587	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	US		e88c96a3-5884-4e51-a580-e417ca4c9eed	41.30815	-72.92816							1902-05-22T01:00Z	22	5	1902	2490800	2490800	PRESERVED_SPECIMEN	RBINS	ave	43811		Chicago Field Museum of Natural History	CC_BY_NC_4_0	Royal belgian Institute of natural Sciences				2017-02-28T04:09Z		IDENTIFIED_DATE_UNLIKELY
1412615162	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_PNW:OBS130405500	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	US	Dixville Notch--wildlife viewing area	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.853713	-71.283342							1986-06-21T02:00Z	21	6	1986	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD_PNW	OBS130405500			CC0_1_0		obsr34879			2017-02-17T06:20Z		COORDINATE_ROUNDED
1412117390	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS405429953	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	US	Tuckahoe WMA/Rt. 50	e2e717bf-551a-4917-bdc9-4fa0f342c530	39.275188	-74.719477							2001-05-24T02:00Z	24	5	2001	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS405429953			CC0_1_0		obsr173810			2017-02-17T06:20Z		COORDINATE_ROUNDED
1411956663	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS405724702	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	US	Tuckahoe WMA/Rt. 50	e2e717bf-551a-4917-bdc9-4fa0f342c530	39.275188	-74.719477							1998-05-11T02:00Z	11	5	1998	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS405724702			CC0_1_0		obsr173810			2017-02-17T06:20Z		COORDINATE_ROUNDED
1411949994	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS405779772	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	US	Saranac	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.65144	-73.74349							2002-06-03T02:00Z	3	6	2002	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS405779772			CC0_1_0		obsr173810			2017-02-17T06:20Z		
1411748412	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS413396221	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	CA	Cape Breton Highlands NP--Benjie's Lake Trail	e2e717bf-551a-4917-bdc9-4fa0f342c530	46.74736	-60.821407							2007-07-08T02:00Z	8	7	2007	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS413396221			CC0_1_0		obsr321486			2017-02-17T06:20Z		COORDINATE_ROUNDED
1411574064	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_QC:OBS411851237	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	CA	Parc régional du Massif-du-Sud	e2e717bf-551a-4917-bdc9-4fa0f342c530	46.628837	-70.466586							2009-06-13T02:00Z	13	6	2009	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD_QC	OBS411851237			CC0_1_0		obsr470488			2017-02-17T06:20Z		COORDINATE_ROUNDED
