wkt_geom,FID,mean,Category,BITH,BITH_cat
"Polygon ((-66.23643441958006406 18.0871494101980943, -66.24476775334795775 18.0871494101980943, -66.24476775334795775 18.09548274396604484, -66.23643441958006406 18.09548274396604484, -66.23643441958006406 18.0871494101980943))",0,0.514194,High,0,No
"Polygon ((-66.43643443001087689 18.17048274787759965, -66.44476776377882743 18.17048274787759965, -66.44476776377882743 18.17881608164549334, -66.43643443001087689 18.17881608164549334, -66.43643443001087689 18.17048274787759965))",1,0.783816,High,0,No
"Polygon ((-66.41976776247491898 18.17048274787759965, -66.42810109624292636 18.17048274787759965, -66.42810109624292636 18.17881608164549334, -66.41976776247491898 18.17881608164549334, -66.41976776247491898 18.17048274787759965))",2,0.826303,High,0,No
"Polygon ((-65.95310107146974588 18.07881607642997324, -65.96143440523758272 18.07881607642997324, -65.96143440523758272 18.0871494101980943, -65.95310107146974588 18.0871494101980943, -65.95310107146974588 18.07881607642997324))",3,0.316847,Medium,0,No
"Polygon ((-66.36143442609932208 18.17048274787759965, -66.36976775986727262 18.17048274787759965, -66.36976775986727262 18.17881608164549334, -66.36143442609932208 18.17881608164549334, -66.36143442609932208 18.17048274787759965))",4,0.797448,High,0,No
"Polygon ((-66.39476776117112422 18.16214941410964911, -66.40310109493907476 18.16214941410964911, -66.40310109493907476 18.17048274787759965, -66.39476776117112422 18.17048274787759965, -66.39476776117112422 18.16214941410964911))",5,0.754904,High,0,No
"Polygon ((-66.38643442740311684 18.16214941410964911, -66.39476776117112422 18.16214941410964911, -66.39476776117112422 18.17048274787759965, -66.38643442740311684 18.17048274787759965, -66.38643442740311684 18.16214941410964911))",6,0.76663,High,0,No
"Polygon ((-66.42810109624292636 18.35381609077239773, -66.43643443001087689 18.35381609077239773, -66.43643443001087689 18.36214942454029142, -66.42810109624292636 18.36214942454029142, -66.42810109624292636 18.35381609077239773))",8,0.101556,Low,0,No
"Polygon ((-66.31976775725951256 18.37048275830841249, -66.32810109102751994 18.37048275830841249, -66.32810109102751994 18.37881609207636302, -66.31976775725951256 18.37881609207636302, -66.31976775725951256 18.37048275830841249))",9,0.522389,High,0,No
"Polygon ((-66.12810108059670711 18.21214941671723864, -66.13643441436454395 18.21214941671723864, -66.13643441436454395 18.22048275048513233, -66.12810108059670711 18.22048275048513233, -66.12810108059670711 18.21214941671723864))",10,0.0754884,Low,0,No
"Polygon ((-66.34476775856330732 18.16214941410964911, -66.3531010923313147 18.16214941410964911, -66.3531010923313147 18.17048274787759965, -66.34476775856330732 18.17048274787759965, -66.34476775856330732 18.16214941410964911))",11,0.752638,High,0,No
"Polygon ((-66.94476778985580268 17.93714940237487099, -66.94476778985580268 17.94548273614276468, -66.93643445608785214 17.94548273614276468, -66.93643445608785214 17.93714940237487099, -66.94476778985580268 17.93714940237487099))",12,0.0202684,Low,0,No
"Polygon ((-66.6781011092814424 18.15381608034152805, -66.68643444304939294 18.15381608034152805, -66.68643444304939294 18.16214941410964911, -66.6781011092814424 18.16214941410964911, -66.6781011092814424 18.15381608034152805))",13,0.801231,High,0,No
"Polygon ((-66.00310107407739224 18.32048275570065243, -66.01143440784539962 18.32048275570065243, -66.01143440784539962 18.32881608946860297, -66.00310107407739224 18.32881608946860297, -66.00310107407739224 18.32048275570065243))",14,0.200536,Low,0,No
"Polygon ((-66.46143443131467166 18.2038160829492881, -66.46976776508267903 18.2038160829492881, -66.46976776508267903 18.21214941671723864, -66.46143443131467166 18.21214941671723864, -66.46143443131467166 18.2038160829492881))",15,0.882409,High,0,No
"Polygon ((-65.86143440002223315 18.3121494219327019, -65.86976773379018368 18.3121494219327019, -65.86976773379018368 18.32048275570065243, -65.86143440002223315 18.32048275570065243, -65.86143440002223315 18.3121494219327019))",16,0.583979,High,0,No
"Polygon ((-66.59476777160188021 18.16214941410964911, -66.60310110536988759 18.16214941410964911, -66.60310110536988759 18.17048274787759965, -66.59476777160188021 18.17048274787759965, -66.59476777160188021 18.16214941410964911))",17,0.812185,High,0,No
"Polygon ((-66.56976777029808545 18.16214941410964911, -66.57810110406603599 18.16214941410964911, -66.57810110406603599 18.17048274787759965, -66.56976777029808545 18.17048274787759965, -66.56976777029808545 18.16214941410964911))",18,0.865054,High,1,Yes
"Polygon ((-65.76976772857483411 18.3121494219327019, -65.77810106234278464 18.3121494219327019, -65.77810106234278464 18.32048275570065243, -65.76976772857483411 18.32048275570065243, -65.76976772857483411 18.3121494219327019))",19,0.844117,High,0,No
"Polygon ((-66.47810109885062957 18.17881608164549334, -66.48643443261852326 18.17881608164549334, -66.48643443261852326 18.18714941541344388, -66.47810109885062957 18.18714941541344388, -66.47810109885062957 18.17881608164549334))",20,0.734823,High,0,No
"Polygon ((-66.16143441566850925 18.28714942062873661, -66.16976774943634609 18.28714942062873661, -66.16976774943634609 18.29548275439685767, -66.16143441566850925 18.29548275439685767, -66.16143441566850925 18.28714942062873661))",21,0.515293,High,0,No
"Polygon ((-65.78643439611073518 18.28714942062873661, -65.79476772987862887 18.28714942062873661, -65.79476772987862887 18.29548275439685767, -65.78643439611073518 18.29548275439685767, -65.78643439611073518 18.28714942062873661))",22,0.804048,High,0,No
"Polygon ((-66.45310109754672112 18.18714941541344388, -66.46143443131467166 18.18714941541344388, -66.46143443131467166 18.19548274918133757, -66.45310109754672112 18.19548274918133757, -66.45310109754672112 18.18714941541344388))",23,0.8735,High,0,No
"Polygon ((-66.48643443261852326 18.17881608164549334, -66.4947677663864738 18.17881608164549334, -66.4947677663864738 18.18714941541344388, -66.48643443261852326 18.18714941541344388, -66.48643443261852326 18.17881608164549334))",24,0.757229,High,0,No
"Polygon ((-66.11976774682875657 18.26214941932499869, -66.12810108059670711 18.26214941932499869, -66.12810108059670711 18.27048275309289238, -66.11976774682875657 18.27048275309289238, -66.11976774682875657 18.26214941932499869))",25,0.545199,High,0,No
"Polygon ((-66.5197677676903254 18.18714941541344388, -66.52810110145827593 18.18714941541344388, -66.52810110145827593 18.19548274918133757, -66.5197677676903254 18.19548274918133757, -66.5197677676903254 18.18714941541344388))",26,0.845865,High,0,No
"Polygon ((-66.57810110406603599 18.24548275178909762, -66.58643443783387283 18.24548275178909762, -66.58643443783387283 18.25381608555704815, -66.57810110406603599 18.25381608555704815, -66.57810110406603599 18.24548275178909762))",27,0.622369,High,0,No
"Polygon ((-66.62810110667368235 18.14548274657363436, -66.63643444044168973 18.14548274657363436, -66.63643444044168973 18.15381608034152805, -66.62810110667368235 18.15381608034152805, -66.62810110667368235 18.14548274657363436))",28,0.622745,High,0,No
"Polygon ((-65.91976773639794374 18.22881608425325339, -65.92810107016578058 18.22881608425325339, -65.92810107016578058 18.23714941802120393, -65.91976773639794374 18.23714941802120393, -65.91976773639794374 18.22881608425325339))",29,0.0781531,Low,0,No
"Polygon ((-66.72810111188908877 18.11214941150188906, -66.7364344456570393 18.11214941150188906, -66.7364344456570393 18.1204827452698396, -66.72810111188908877 18.1204827452698396, -66.72810111188908877 18.11214941150188906))",30,0.842934,High,0,No
"Polygon ((-65.83643439871838154 18.23714941802120393, -65.84476773248638892 18.23714941802120393, -65.84476773248638892 18.24548275178909762, -65.83643439871838154 18.24548275178909762, -65.83643439871838154 18.23714941802120393))",31,0.545668,High,0,No
"Polygon ((-66.5531011027620707 18.22881608425325339, -66.56143443653007807 18.22881608425325339, -66.56143443653007807 18.23714941802120393, -66.5531011027620707 18.23714941802120393, -66.5531011027620707 18.22881608425325339))",32,0.628492,High,0,No
"Polygon ((-66.48643443261852326 18.17048274787759965, -66.4947677663864738 18.17048274787759965, -66.4947677663864738 18.17881608164549334, -66.48643443261852326 18.17881608164549334, -66.48643443261852326 18.17048274787759965))",33,0.841396,High,0,No
