Site,Point.ID,Date,Survey.number,Species,Species.code,Count,Distance,Distance.cat,Detection.mode
Adjuntas I,6000-2,2/6/15,3,Mniotilta varia,BAWW,1,25-Nov,2,Sight (Visto)
Adjuntas I,6000-2,2/6/15,3,Contopus latirostris,LAPE,1,25-Nov,2,Sight (Visto)
Adjuntas I,6000-2,2/6/15,4,Setophaga americana,NOPA,1,25-Nov,2,Sight (Visto)
Adjuntas I,6000-2,2/6/15,1,Spindalis portoricensis,PRSP,1,25-Nov,2,Sight (Visto)
Adjuntas I,6000-2,2/6/15,3,Spindalis portoricensis,PRSP,1,25-Nov,2,Sight (Visto)
Adjuntas I,6000-3,2/6/15,2,Tiaris bicolor,BFGR,1,25-Nov,2,Sight (Visto)
Adjuntas I,6000-3,2/6/15,1,Spindalis portoricensis,PRSP,1,25-Nov,2,Sight (Visto)
Adjuntas I,6000-4,2/6/15,4,Todus mexicanus,PRTO,1,25-Nov,2,Sight (Visto)
Adjuntas I,6000-5,2/6/15,2,Megascops nudipes,PRSO,1,25-Nov,2,Sight (Visto)
Adjuntas I,6000-5,2/6/15,1,Spindalis portoricensis,PRSP,1,25-Nov,2,Sight (Visto)
Adjuntas I,6000-5,2/6/15,1,Todus mexicanus,PRTO,1,25-Nov,2,Sight (Visto)
Adjuntas I,6000-5,2/6/15,4,Patagioenas squamosa,SNPI,1,25-Nov,2,Sight (Visto)
Adjuntas I,6000-1,2/6/15,2,Coereba flaveola,BANA,1,25-Nov,2,Sound (Canto)
Adjuntas I,6000-1,2/6/15,3,Coereba flaveola,BANA,1,25-Nov,2,Sound (Canto)
Adjuntas I,6000-1,2/6/15,1,Tiaris bicolor,BFGR,1,25-Nov,2,Sound (Canto)
Adjuntas I,6000-1,2/6/15,1,Setophaga caerulescens,BTBW,1,25-Nov,2,Sound (Canto)
Adjuntas I,6000-2,2/6/15,2,Coereba flaveola,BANA,1,25-Nov,2,Sound (Canto)
Adjuntas I,6000-2,2/6/15,3,Coereba flaveola,BANA,1,25-Nov,2,Sound (Canto)
Adjuntas I,6000-2,2/6/15,4,Coereba flaveola,BANA,3,25-Nov,2,Sound (Canto)
Adjuntas I,6000-2,2/6/15,2,Vireo altiloquus,BWVI,1,25-Nov,2,Sound (Canto)
Adjuntas I,6000-2,2/6/15,2,Spindalis portoricensis,PRSP,1,25-Nov,2,Sound (Canto)
Adjuntas I,6000-2,2/6/15,4,Spindalis portoricensis,PRSP,1,25-Nov,2,Sound (Canto)
Adjuntas I,6000-2,2/6/15,4,Todus mexicanus,PRTO,1,25-Nov,2,Sound (Canto)
Adjuntas I,6000-2,2/6/15,4,Vireo latimeri,PRVI,1,25-Nov,2,Sound (Canto)
Adjuntas I,6000-3,2/6/15,1,Coereba flaveola,BANA,1,25-Nov,2,Sound (Canto)
Adjuntas I,6000-3,2/6/15,1,Coereba flaveola,BANA,1,25-Nov,2,Sound (Canto)
Adjuntas I,6000-3,2/6/15,2,Coereba flaveola,BANA,1,25-Nov,2,Sound (Canto)
Adjuntas I,6000-3,2/6/15,3,Coereba flaveola,BANA,2,25-Nov,2,Sound (Canto)
Adjuntas I,6000-3,2/6/15,4,Coereba flaveola,BANA,2,25-Nov,2,Sound (Canto)
Adjuntas I,6000-3,2/6/15,4,Setophaga americana,NOPA,1,25-Nov,2,Sound (Canto)
Adjuntas I,6000-3,2/6/15,2,Spindalis portoricensis,PRSP,1,25-Nov,2,Sound (Canto)
Adjuntas I,6000-3,2/6/15,3,Spindalis portoricensis,PRSP,1,25-Nov,2,Sound (Canto)
Adjuntas I,6000-4,2/6/15,1,Coereba flaveola,BANA,1,25-Nov,2,Sound (Canto)
Adjuntas I,6000-4,2/6/15,2,Coereba flaveola,BANA,2,25-Nov,2,Sound (Canto)
Adjuntas I,6000-4,2/6/15,3,Coereba flaveola,BANA,4,25-Nov,2,Sound (Canto)
