parentEventID,eventID,occurenceID,individualCount,organsimQuantity,organsimQuantityType,scientificName,kingdom,phylum,class,taxonRank,dynamicProperties,,,,,,,,
10602-1,10602-1.1,10602-1.1-1,1,1,individuals,Tiaris bicolor,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-1,10602-1.1,10602-1.1-2,1,1,individuals,Todus mexicanus,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-1,10602-1.1,10602-1.1-3,2,2,individuals,Setophaga adelaidae,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-1,10602-1.1,10602-1.1-4,1,1,individuals,Zenaida asiatica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-1,10602-1.1,10602-1.1-5,1,1,individuals,Coccyzus minor,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-1,10602-1.1,10602-1.1-6,1,1,individuals,Loxigilla portoricensis,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-1,10602-1.1,10602-1.1-7,1,1,individuals,Mimus polyglottos,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-1,10602-1.1,10602-1.1-8,1,1,individuals,Vireo latimeri,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-1,10602-1.1,10602-1.1-9,1,1,individuals,Coereba flaveola,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""0-10""}""",,,,,,,,
10602-1,10602-1.1,10602-1.1-10,1,1,individuals,Zenaida aurita,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-1,10602-1.1,10602-1.1-11,3,3,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-1,10602-1.1,10602-1.1-12,2,2,individuals,Icterus icterus,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-1,10602-1.1,10602-1.1-13,1,1,individuals,Setophaga adelaidae,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-1,10602-1.1,10602-1.1-14,1,1,individuals,Vireo altiloquus,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-1,10602-1.1,10602-1.1-15,1,1,individuals,Vireo latimeri,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-1,10602-1.1,10602-1.1-16,1,1,individuals,Thalasseus maximus,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""Fly-over/Volandos""}""",,,,,,,,
10602-1,10602-1.2,10602-1.2-1,1,1,individuals,Anthracothorax dominicus,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-1,10602-1.2,10602-1.2-2,1,1,individuals,Loxigilla portoricensis,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-1,10602-1.2,10602-1.2-3,1,1,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-1,10602-1.2,10602-1.2-4,1,1,individuals,Setophaga adelaidae,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-1,10602-1.2,10602-1.2-5,1,1,individuals,Todus mexicanus,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-1,10602-1.2,10602-1.2-6,1,1,individuals,Vireo latimeri,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-1,10602-1.2,10602-1.2-7,1,1,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-1,10602-1.2,10602-1.2-8,1,1,individuals,Icterus icterus,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-1,10602-1.2,10602-1.2-9,1,1,individuals,Myiarchus antillarum,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-1,10602-1.2,10602-1.2-10,1,1,individuals,Zenaida asiatica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-1,10602-1.2,10602-1.2-11,2,2,individuals,Zenaida aurita,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-1,10602-1.2,10602-1.2-12,1,1,individuals,Coereba flaveola,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-1,10602-1.2,10602-1.2-13,1,1,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-1,10602-1.2,10602-1.2-14,1,1,individuals,Setophaga adelaidae,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-1,10602-1.2,10602-1.2-15,1,1,individuals,Zenaida asiatica,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-1,10602-1.3,10602-1.3-1,1,1,individuals,Tiaris bicolor,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-1,10602-1.3,10602-1.3-2,1,1,individuals,Coereba flaveola,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-1,10602-1.3,10602-1.3-3,1,1,individuals,Icterus icterus,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-1,10602-1.3,10602-1.3-4,3,3,individuals,Setophaga adelaidae,Animalia,Chordata,Aves,species,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
