PointID,first
2463-5,142
2463-4,140
7717-5,901
7717-2,919
6877-1,746
6877-2,760
6877-5,812
6877-4,823
4602-4,452
4602-2,427
4602-3,436
2463-2,140
2463-1,139
6000-5,183
6740-1,824
6000-4,200
6740-2,816
6000-3,212
6740-3,823
6000-2,215
6740-4,826
6000-1,257
6741-2,840
7717-1,844
6741-3,839
7717-4,901
7717-3,908
4602-5,445
4602-1,400
5717-3,458
5717-1,416
5717-5,432
5717-2,449
5717-4,428
8280-2,587
8280-1,561
8280-5,643
6556-5,850
6556-4,880
6556-1,911
6556-3,894
6556-2,936
6383-2,912
6383-1,932
6383-3,937
6383-4,954
6383-5,923
8280-4,662
8280-3,703
1342-4,602
1342-1,599
1342-2,578
1342-3,585
1342-5,585
6746-1,782
6746-3,803
6746-4,769
5857-5,889
5857-4,897
5857-3,874
5857-1,868
5857-2,869
6384-1,904
6384-2,886
6384-3,873
6384-4,863
6384-5,853
6746-5,746
6571-4,814
6571-2,797
6571-1,781
6571-3,824
4037-1,484
4037-2,508
4037-3,502
4037-4,512
6212-3,954
6212-2,943
6212-5,1014
6212-4,1005
6212-1,952
6562-5,982
6562-4,866
6562-3,841
6562-2,807
6562-1,799
4037-5,489
6204-5,774
6204-3,711
6204-4,685
6204-2,674
6564-5,781
6564-2,775
6564-1,664
6564-4,801
6564-3,788
3515-2,469
3515-4,503
3515-3,476
3515-1,457
4082-2,736
6204-1,664
5111-4,687
5111-1,674
5111-2,685
5111-5,705
5111-3,699
10602-5,18
10602-1,19
10602-4,16
10602-2,35
4082-3,708
4082-4,681
4082-1,753
3896-5,3
3896-3,5
3896-4,2
3896-2,0
3896-1,0
3504-1,440
3504-5,456
10602-3,57
5297-5,769
5297-4,772
5297-3,773
5297-1,761
7053-5,765
7053-2,778
7053-4,774
7053-3,774
3504-2,464
3504-3,493
3504-4,481
2092-3,161
2092-5,183
7053-1,789
6719-5,1288
6719-4,1224
6719-2,1270
6719-3,1261
6719-1,1297
6716-5,1028
6716-4,1052
6716-2,1083
6716-3,1065
2092-4,171
2092-2,170
2092-1,178
3294-5,96
3294-4,95
3294-3,90
3294-1,72
3294-2,67
3964-4,769
3964-5,777
6716-1,1099
4918-2,800
4918-1,792
4918-3,808
4918-4,806
4918-5,760
6881-2,649
6881-3,636
6881-1,644
5373-1,81
3964-3,815
3964-2,799
3964-1,788
8835-4,5
8835-5,11
8835-3,20
8835-2,26
8835-1,42
8483-2,295
8483-1,294
8483-3,291
8483-4,301
8483-5,262
5194-3,191
5194-4,134
5194-2,155
5194-5,131
5194-1,236
7194-4,NA
7194-5,NA
7015-1,NA
7015-2,NA
7015-3,NA
7015-4,NA
7015-5A,NA
7015-5B,NA
7965-1,NA
7965-2,NA
7965-3,NA
5297-2,NA
7965-4,NA
7965-5,NA
6877-3,NA
7308-1,NA
7308-2,NA
7308-3,NA
7308-4,NA
7308-5,NA
2463-3,NA
5373-2,NA
5373-3,NA
6741-1,NA
7194-1,NA
7194-2,NA
7194-3,NA
6746-2,NA
