Point.ID,habitatValue
2463-5,0.102
2463-4,0.102
7717-5,0.843
7717-2,0.843
6877-1,0.459
6877-2,0.801
6877-5,0.801
6877-4,0.801
4602-4,0.545
4602-2,0.545
4602-3,0.545
2463-2,0.102
2463-1,0.102
6000-5,0.088
6740-1,0.755
6000-4,0.088
6740-2,0.755
6000-3,0.088
6740-3,0.755
6000-2,0.061
6740-4,0.755
6000-1,0.082
6741-2,0.767
7717-1,0.789
6741-3,0.646
7717-4,0.843
7717-3,0.843
4602-5,0.545
4602-1,0.545
5717-3,0.075
5717-1,0.075
5717-5,0.075
5717-2,0.075
5717-4,0.075
8280-2,0.514
8280-1,0.514
8280-5,0.514
6556-5,0.841
6556-4,0.841
6556-1,0.841
6556-3,0.841
6556-2,0.841
6383-2,0.757
6383-1,0.757
6383-3,0.757
6383-4,0.757
6383-5,0.735
8280-4,0.514
8280-3,0.514
1342-4,0.246
1342-1,0.246
1342-2,0.246
1342-3,0.246
1342-5,0.246
6746-1,0.753
6746-3,0.753
6746-4,0.753
5857-5,0.736
5857-4,0.882
5857-3,0.882
5857-1,0.882
5857-2,0.882
6384-1,0.735
6384-2,0.735
6384-3,0.735
6384-4,0.735
6384-5,0.735
6746-5,0.753
6571-4,0.797
6571-2,0.797
6571-1,0.797
6571-3,0.797
4037-1,0.515
4037-2,0.515
4037-3,0.515
4037-4,0.515
6212-3,0.873
6212-2,0.873
6212-5,0.873
6212-4,0.873
6212-1,0.873
6562-5,0.784
6562-4,0.784
6562-3,0.784
6562-2,0.784
6562-1,0.784
4037-5,0.515
6204-5,0.846
6204-3,0.846
6204-4,0.846
6204-2,0.846
6564-5,0.826
6564-2,0.826
6564-1,0.617
6564-4,0.826
6564-3,0.826
3515-2,0.844
3515-4,0.844
3515-3,0.844
3515-1,0.844
4082-2,0.804
6204-1,0.846
5111-4,0.305
5111-1,0.305
5111-2,0.305
5111-5,0.305
5111-3,0.305
10602-5,0.02
10602-1,0.02
10602-4,0.02
10602-2,0.02
4082-3,0.804
4082-4,0.804
4082-1,0.804
3896-5,0.19
3896-3,0.094
3896-4,0.19
3896-2,0.094
3896-1,0.094
3504-1,0.584
3504-5,0.584
10602-3,0.02
5297-5,0.628
5297-4,0.628
5297-3,0.628
5297-1,0.628
7053-5,0.623
7053-2,0.623
7053-4,0.623
7053-3,0.623
3504-2,0.584
3504-3,0.584
3504-4,0.584
2092-3,0.522
2092-5,0.522
7053-1,0.623
6719-5,0.865
6719-4,0.865
6719-2,0.865
6719-3,0.865
6719-1,0.865
6716-5,0.812
6716-4,0.812
6716-2,0.812
6716-3,0.812
2092-4,0.522
2092-2,0.522
2092-1,0.522
3294-5,0.201
3294-4,0.201
3294-3,0.201
3294-1,0.201
3294-2,0.201
3964-4,0.794
3964-5,0.794
6716-1,0.812
4918-2,0.622
4918-1,0.622
4918-3,0.622
4918-4,0.622
4918-5,0.622
6881-2,0.685
6881-3,0.43
6881-1,0.43
5373-1,0.078
3964-3,0.794
3964-2,0.794
3964-1,0.837
8835-4,0.02
8835-5,0.02
8835-3,0.02
8835-2,0.02
8835-1,0.02
8483-2,0.317
8483-1,0.317
8483-3,0.317
8483-4,0.317
8483-5,0.317
5194-3,0.546
5194-4,0.546
5194-2,0.546
5194-5,0.546
5194-1,0.457
7194-4,NA
7194-5,NA
7015-1,NA
7015-2,NA
7015-3,NA
7015-4,NA
7015-5A,NA
7015-5B,NA
7965-1,NA
7965-2,NA
7965-3,NA
5297-2,NA
7965-4,NA
7965-5,NA
6877-3,NA
7308-1,NA
7308-2,NA
7308-3,NA
7308-4,NA
7308-5,NA
2463-3,NA
5373-2,NA
5373-3,NA
6741-1,NA
7194-1,NA
7194-2,NA
7194-3,NA
6746-2,NA
