parentEventID,eventID,samplingProtocol,sampleSizeValue,sampleSizeUnit,eventDate,country,countryCode,locality,decimalLatitude,decimalLongitude,geodeticDatum,dynamicProperties
10602-1,10602-1.1,point count,2.5,minute,3/27/15 6:29,Puerto Rico,PR,Guanica,17.94183,-66.94299,WGS84,"""{bicknellThrushPlaybackUsedBeforeCount:""No""}"""
10602-1,10602-1.2,point count,2.5,minute,3/27/15 6:35,Puerto Rico,PR,Guanica,17.94183,-66.94299,WGS84,"""{bicknellThrushPlaybackUsedBeforeCount:Yes""}"""
10602-1,10602-1.3,point count,2.5,minute,3/27/15 6:39,Puerto Rico,PR,Guanica,17.94183,-66.94299,WGS84,"""{bicknellThrushPlaybackUsedBeforeCount:""No""}"""
10602-1,10602-1.4,point count,2.5,minute,3/27/15 6:44,Puerto Rico,PR,Guanica,17.94183,-66.94299,WGS84,"""{bicknellThrushPlaybackUsedBeforeCount:Yes""}"""
10602-2,10602-2.1,point count,2.5,minute,3/27/15 7:05,Puerto Rico,PR,Guanica,17.94143,-66.94154,WGS84,"""{bicknellThrushPlaybackUsedBeforeCount:""No""}"""
10602-2,10602-2.2,point count,2.5,minute,3/27/15 7:11,Puerto Rico,PR,Guanica,17.94143,-66.94154,WGS84,"""{bicknellThrushPlaybackUsedBeforeCount:Yes""}"""
10602-2,10602-2.3,point count,2.5,minute,3/27/15 7:15,Puerto Rico,PR,Guanica,17.94143,-66.94154,WGS84,"""{bicknellThrushPlaybackUsedBeforeCount:""No""}"""
10602-2,10602-2.4,point count,2.5,minute,3/27/15 7:21,Puerto Rico,PR,Guanica,17.94143,-66.94154,WGS84,"""{bicknellThrushPlaybackUsedBeforeCount:Yes""}"""
10602-3,10602-3.1,point count,2.5,minute,3/27/15 7:35,Puerto Rico,PR,Guanica,17.93924,-66.93996,WGS84,"""{bicknellThrushPlaybackUsedBeforeCount:""No""}"""
10602-3,10602-3.2,point count,2.5,minute,3/27/15 7:42,Puerto Rico,PR,Guanica,17.93924,-66.93996,WGS84,"""{bicknellThrushPlaybackUsedBeforeCount:Yes""}"""
10602-3,10602-3.3,point count,2.5,minute,3/27/15 7:46,Puerto Rico,PR,Guanica,17.93924,-66.93996,WGS84,"""{bicknellThrushPlaybackUsedBeforeCount:""No""}"""
10602-3,10602-3.4,point count,2.5,minute,3/27/15 7:52,Puerto Rico,PR,Guanica,17.93924,-66.93996,WGS84,"""{bicknellThrushPlaybackUsedBeforeCount:Yes""}"""
10602-4,10602-4.1,point count,2.5,minute,3/27/15 8:24,Puerto Rico,PR,Guanica,17.94378,-66.94235,WGS84,"""{bicknellThrushPlaybackUsedBeforeCount:""No""}"""
10602-4,10602-4.2,point count,2.5,minute,3/27/15 8:29,Puerto Rico,PR,Guanica,17.94378,-66.94235,WGS84,"""{bicknellThrushPlaybackUsedBeforeCount:Yes""}"""
10602-4,10602-4.3,point count,2.5,minute,3/27/15 8:34,Puerto Rico,PR,Guanica,17.94378,-66.94235,WGS84,"""{bicknellThrushPlaybackUsedBeforeCount:""No""}"""
